i^привет;привет, cпрашивай:'
i^предметы;вот список предметов:'
i^важное;пока ничего важного нет'
i^расписание;file.photo-76485436_456239020'держи'
p^англ;сделать презентацию к 26.05'выучи наконец английский'
p^асвбу;учим программировать на русском языке'
p^культ;какая то тема по древним людям и докладики'
p^тпр;надо сделать дохуя разных лаб, где ничего не понятно'
p^бд;там скоро контра, так что готовся'
p^моии;куча разных штук по ИИ сделать надо'
p^соц;16.05 будет жесткая контра по лекциям'докладов больше не намечается'
p^ос;...там Тарасов, ничем не могу помочь'
p^экон;сдаем зачетки - получаешь зачет, не сдаешь - не получаешь'
